               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.074704,             0.01704,           0.0015508,             0.17252,             0.78492,             0.75282,             0.75406,             0.39248,            0.073297,            0.014073,           0.0021495,             0.15534,           0.0099618,           0.0099618,           0.0099618
                  46,            0.076016,             0.01706,           0.0013537,             0.17117,             0.77451,             0.67972,             0.74287,             0.36941,            0.064848,            0.016615,           0.0016132,             0.14994,           0.0099601,           0.0099601,           0.0099601
                  47,            0.072163,            0.018432,            0.001371,             0.17089,             0.59242,             0.75265,             0.74422,             0.33161,            0.062269,            0.016526,           0.0015031,             0.15272,           0.0099583,           0.0099583,           0.0099583
                  48,            0.068447,            0.019104,             0.00162,              0.1707,             0.71316,             0.70397,             0.72907,              0.3156,            0.058451,            0.016279,           0.0015435,             0.14917,           0.0099565,           0.0099565,           0.0099565
                  49,            0.067674,            0.019139,           0.0015487,             0.16912,             0.78765,             0.73911,             0.81175,             0.41184,            0.062516,            0.015955,           0.0018197,              0.1468,           0.0099546,           0.0099546,           0.0099546
                  50,             0.06824,            0.018782,           0.0013597,             0.16901,             0.79838,             0.67469,             0.76817,             0.32159,            0.060981,            0.016017,           0.0013921,             0.15275,           0.0099527,           0.0099527,           0.0099527
                  51,            0.065833,            0.017915,           0.0012646,             0.16626,             0.66737,             0.70135,               0.747,             0.37659,            0.060305,            0.016594,           0.0013763,             0.14771,           0.0099508,           0.0099508,           0.0099508
                  52,            0.063499,            0.016364,           0.0013451,             0.16756,             0.73504,              0.6538,             0.77203,             0.35691,            0.060411,            0.016223,           0.0015595,             0.14344,           0.0099488,           0.0099488,           0.0099488
                  53,            0.063667,            0.019032,           0.0013411,             0.16757,             0.80143,             0.67612,             0.72534,             0.29293,             0.05372,            0.016553,           0.0014462,             0.14033,           0.0099467,           0.0099467,           0.0099467
                  54,            0.064121,            0.018862,           0.0014106,             0.16489,             0.71821,             0.74936,             0.80292,             0.39661,            0.052878,            0.016396,           0.0013351,             0.14664,           0.0099447,           0.0099447,           0.0099447
                  55,            0.062544,            0.019115,           0.0011526,             0.16595,             0.69721,             0.76583,             0.80463,             0.31581,             0.05414,            0.016565,           0.0013738,             0.14688,           0.0099426,           0.0099426,           0.0099426
                  56,            0.061036,            0.019803,           0.0013721,             0.16378,              0.5757,             0.80911,             0.76655,             0.26146,            0.057136,             0.01686,           0.0017286,             0.14058,           0.0099404,           0.0099404,           0.0099404
                  57,            0.061874,            0.018946,           0.0013902,             0.16268,             0.58561,             0.75258,             0.73307,             0.38179,            0.053817,             0.01699,           0.0014086,             0.13913,           0.0099383,           0.0099383,           0.0099383
                  58,            0.064859,            0.019424,           0.0012956,             0.16142,             0.87212,             0.76803,             0.83069,             0.44002,            0.046213,            0.016605,           0.0012783,             0.14191,            0.009936,            0.009936,            0.009936
                  59,            0.060159,            0.018621,           0.0014428,             0.16116,             0.64614,             0.83517,             0.82405,             0.35688,            0.055637,            0.016028,           0.0010937,             0.13892,           0.0099338,           0.0099338,           0.0099338
                  60,            0.060615,            0.019145,           0.0011613,             0.16104,             0.73051,             0.84409,             0.82127,             0.30112,            0.047539,            0.017215,           0.0013761,             0.13711,           0.0099315,           0.0099315,           0.0099315
                  61,            0.058626,            0.018065,           0.0011744,             0.15853,             0.52309,             0.82647,             0.70487,             0.25716,            0.056067,            0.016704,           0.0012337,             0.13487,           0.0099291,           0.0099291,           0.0099291
                  62,            0.060034,            0.017727,           0.0012811,             0.15711,             0.82894,             0.84578,             0.86827,             0.45629,            0.048197,             0.01697,           0.0014031,             0.13339,           0.0099268,           0.0099268,           0.0099268
                  63,            0.060079,            0.018183,           0.0011318,             0.15704,              0.8921,             0.55813,              0.7177,             0.25581,            0.067132,            0.016149,           0.0013284,             0.13226,           0.0099244,           0.0099244,           0.0099244
                  64,            0.062436,            0.017782,           0.0012195,             0.15794,             0.80665,             0.66317,             0.78681,              0.3586,            0.056156,            0.016205,           0.0012272,             0.13124,           0.0099219,           0.0099219,           0.0099219
                  65,            0.060031,            0.019093,            0.001364,             0.15752,             0.76818,              0.7744,             0.78419,             0.28302,            0.059626,            0.016571,           0.0013571,             0.12976,           0.0099194,           0.0099194,           0.0099194
                  66,             0.06179,            0.018703,           0.0013323,             0.15671,             0.82726,             0.78355,             0.77644,             0.35634,            0.043546,            0.016441,           0.0014689,             0.13239,           0.0099169,           0.0099169,           0.0099169
                  67,            0.058639,            0.019207,           0.0012592,              0.1572,             0.70857,             0.75197,             0.80694,             0.35464,            0.052298,            0.016045,           0.0014296,             0.13361,           0.0099143,           0.0099143,           0.0099143
                  68,            0.055741,            0.018243,           0.0010773,             0.15534,             0.91595,             0.83874,             0.88921,             0.46323,            0.040349,            0.015804,           0.0013151,             0.13269,           0.0099117,           0.0099117,           0.0099117
                  69,            0.058229,            0.018785,           0.0012253,             0.15529,             0.63511,             0.81299,             0.77631,             0.36657,            0.056649,             0.01569,          0.00098068,             0.13035,           0.0099091,           0.0099091,           0.0099091
                  70,            0.056519,            0.018422,           0.0011391,             0.15492,              0.7627,              0.8378,             0.86331,             0.41479,            0.045535,            0.016016,           0.0011045,              0.1298,           0.0099064,           0.0099064,           0.0099064
                  71,            0.056644,            0.018389,           0.0014312,              0.1543,              0.9024,             0.82958,              0.8705,             0.39762,            0.043789,            0.015939,           0.0011842,             0.13328,           0.0099037,           0.0099037,           0.0099037
                  72,            0.059246,            0.016984,          0.00092739,             0.15055,              0.8581,             0.83392,             0.87701,             0.44462,            0.043097,             0.01582,           0.0020814,             0.13054,           0.0099009,           0.0099009,           0.0099009
                  73,            0.059099,            0.018616,           0.0014095,              0.1524,             0.57231,             0.74557,             0.71038,             0.28452,            0.063223,            0.016703,           0.0017733,             0.12775,           0.0098981,           0.0098981,           0.0098981
                  74,            0.058225,            0.018359,           0.0012744,             0.15055,             0.74217,             0.83901,             0.80483,             0.40167,            0.045384,            0.016658,          0.00094909,             0.13068,           0.0098953,           0.0098953,           0.0098953
                  75,            0.056166,            0.018648,           0.0016465,             0.15042,             0.75952,             0.85322,             0.86044,             0.39506,            0.053221,            0.016583,          0.00088841,             0.12948,           0.0098924,           0.0098924,           0.0098924
                  76,            0.057346,            0.018401,           0.0011923,             0.14773,             0.68322,             0.77656,             0.76514,             0.37214,            0.051581,            0.016284,           0.0010257,             0.12875,           0.0098895,           0.0098895,           0.0098895
                  77,            0.058999,            0.018608,           0.0012897,             0.14858,              0.9089,              0.8382,             0.89222,             0.48185,            0.042297,            0.016077,          0.00097661,              0.1318,           0.0098865,           0.0098865,           0.0098865
                  78,            0.056697,             0.01774,            0.001151,             0.14832,             0.82919,             0.78796,             0.78262,             0.34056,            0.047051,            0.016291,          0.00099941,              0.1267,           0.0098835,           0.0098835,           0.0098835
                  79,              0.0558,            0.018385,           0.0010933,             0.14666,             0.89927,             0.87449,             0.90726,             0.52831,            0.041217,            0.016485,           0.0010274,             0.12742,           0.0098805,           0.0098805,           0.0098805
                  80,            0.057141,            0.019152,           0.0013589,             0.14748,             0.80875,             0.76725,             0.79208,             0.27505,            0.045634,             0.01712,           0.0012731,             0.13043,           0.0098774,           0.0098774,           0.0098774
                  81,            0.058226,            0.019912,           0.0019291,             0.15022,             0.88705,             0.81276,             0.84407,             0.39322,            0.041909,             0.01654,           0.0012425,             0.13078,           0.0098743,           0.0098743,           0.0098743
                  82,            0.056418,            0.018578,           0.0012704,             0.14598,             0.72756,             0.84273,             0.86909,             0.45201,            0.045848,            0.016359,           0.0011866,             0.12373,           0.0098712,           0.0098712,           0.0098712
                  83,            0.057351,            0.019755,           0.0014814,             0.14544,             0.84703,             0.78832,             0.82837,             0.34724,            0.050008,            0.016105,          0.00092991,             0.12921,            0.009868,            0.009868,            0.009868
                  84,            0.056967,            0.017492,           0.0012549,             0.14492,             0.72091,             0.80832,             0.83587,             0.35607,            0.049609,            0.016783,          0.00074256,             0.12419,           0.0098648,           0.0098648,           0.0098648
                  85,            0.055644,            0.018597,           0.0010932,             0.14224,             0.84252,             0.73583,             0.82429,             0.45067,            0.048316,             0.01669,           0.0011071,             0.12328,           0.0098615,           0.0098615,           0.0098615
                  86,            0.058543,            0.017468,           0.0013216,             0.14354,             0.67469,             0.81592,             0.77418,             0.30969,            0.053512,            0.016067,           0.0014147,             0.12279,           0.0098582,           0.0098582,           0.0098582
                  87,            0.057279,            0.018271,           0.0011863,             0.14323,             0.92976,             0.83641,             0.87203,             0.44507,            0.042261,             0.01659,          0.00098366,             0.12295,           0.0098549,           0.0098549,           0.0098549
                  88,            0.057169,             0.01804,           0.0011728,             0.14115,             0.61415,             0.84083,             0.79532,             0.42044,            0.045409,            0.016334,           0.0011722,             0.12535,           0.0098515,           0.0098515,           0.0098515
                  89,            0.056664,            0.018927,            0.001112,                0.14,             0.70353,              0.8176,              0.8071,             0.28896,            0.051591,            0.016138,           0.0010705,             0.12356,           0.0098481,           0.0098481,           0.0098481
                  90,            0.056291,            0.018608,           0.0010887,              0.1386,             0.76111,             0.82847,             0.82951,             0.38547,            0.049971,            0.016363,          0.00073294,              0.1211,           0.0098447,           0.0098447,           0.0098447
                  91,            0.057246,            0.018418,          0.00089532,             0.14038,             0.78935,             0.84827,             0.86956,             0.39699,            0.041169,            0.016213,          0.00067681,             0.12198,           0.0098412,           0.0098412,           0.0098412
                  92,            0.056203,             0.01901,          0.00083113,             0.13878,             0.91717,             0.84707,             0.88681,             0.40345,            0.042617,             0.01645,          0.00078576,             0.11995,           0.0098376,           0.0098376,           0.0098376
                  93,            0.055708,            0.019628,           0.0012141,              0.1392,             0.84313,             0.83681,             0.84099,             0.45262,            0.043848,             0.01663,           0.0010481,             0.11968,           0.0098341,           0.0098341,           0.0098341
                  94,            0.055395,            0.018471,          0.00099791,             0.13971,             0.92889,             0.83748,             0.87375,             0.51754,            0.039672,            0.016427,          0.00083473,             0.11994,           0.0098305,           0.0098305,           0.0098305
                  95,            0.054963,            0.019158,           0.0010388,             0.14041,             0.88783,             0.83924,             0.87224,             0.43355,            0.039131,            0.016137,           0.0011296,               0.123,           0.0098268,           0.0098268,           0.0098268
                  96,            0.057328,            0.019753,           0.0012732,             0.13901,             0.84901,             0.76634,             0.87287,             0.50153,             0.04706,            0.015798,          0.00067903,             0.12108,           0.0098232,           0.0098232,           0.0098232
                  97,             0.05633,            0.018875,           0.0010843,             0.13915,             0.89468,             0.86676,             0.88721,             0.42372,            0.042539,            0.016261,          0.00076592,             0.12548,           0.0098195,           0.0098195,           0.0098195
                  98,            0.056737,            0.019353,           0.0010528,             0.13737,             0.90471,             0.81692,             0.84787,             0.37673,            0.043497,            0.016435,          0.00092016,             0.12429,           0.0098157,           0.0098157,           0.0098157
                  99,            0.056986,            0.018737,           0.0012158,             0.13661,             0.60059,             0.87713,             0.80854,             0.37509,            0.050359,            0.016259,          0.00088034,             0.12078,           0.0098119,           0.0098119,           0.0098119
                 100,            0.055145,            0.018331,           0.0013122,             0.13678,             0.82034,             0.82734,             0.87018,             0.40174,            0.044957,            0.016131,          0.00085573,             0.11981,           0.0098081,           0.0098081,           0.0098081
                 101,            0.056826,            0.019797,           0.0013546,             0.13373,             0.85368,             0.84447,             0.87066,             0.36516,            0.041274,            0.015833,          0.00097487,             0.12022,           0.0098042,           0.0098042,           0.0098042
                 102,            0.056429,            0.019364,           0.0012122,              0.1339,             0.76881,              0.8602,             0.82885,             0.42098,            0.045412,            0.016112,          0.00093799,             0.11928,           0.0098003,           0.0098003,           0.0098003
                 103,            0.054379,            0.017513,           0.0011373,             0.13393,             0.90964,             0.85353,             0.88674,             0.46429,            0.040125,            0.015619,            0.000885,             0.11944,           0.0097964,           0.0097964,           0.0097964
                 104,            0.056756,            0.018695,           0.0012074,             0.13465,             0.78247,             0.85066,               0.889,             0.41761,            0.044805,            0.016376,           0.0012965,             0.11261,           0.0097924,           0.0097924,           0.0097924
                 105,            0.054206,            0.019423,          0.00092084,             0.13401,              0.7542,             0.87441,             0.84755,             0.40081,            0.048725,            0.016295,          0.00080752,             0.11376,           0.0097884,           0.0097884,           0.0097884
                 106,            0.056371,            0.019145,           0.0012106,             0.13298,             0.81476,             0.85406,             0.89904,             0.41624,            0.040345,            0.016393,          0.00083753,             0.11637,           0.0097843,           0.0097843,           0.0097843
                 107,            0.055492,            0.017999,           0.0010846,             0.13306,             0.62066,             0.82931,             0.86033,             0.47966,            0.053394,            0.015703,          0.00081368,             0.11738,           0.0097803,           0.0097803,           0.0097803
                 108,             0.05341,            0.019058,          0.00090412,             0.13125,             0.87928,             0.83855,             0.88202,             0.40889,            0.040888,            0.016126,          0.00072804,             0.11673,           0.0097761,           0.0097761,           0.0097761
                 109,            0.054247,            0.016937,          0.00085666,             0.12917,             0.89984,             0.83426,             0.85471,               0.426,            0.041863,            0.015509,           0.0007379,             0.11941,            0.009772,            0.009772,            0.009772
                 110,            0.055748,            0.019223,           0.0011647,             0.12824,             0.94064,             0.86416,             0.90632,             0.48849,             0.04042,             0.01571,          0.00080003,             0.11481,           0.0097678,           0.0097678,           0.0097678
                 111,            0.055307,            0.018852,          0.00078749,             0.12666,             0.93857,              0.8814,             0.91676,             0.52074,            0.041677,            0.015888,          0.00075096,             0.11815,           0.0097635,           0.0097635,           0.0097635
                 112,            0.055293,            0.019071,          0.00084894,             0.12709,             0.90788,              0.8559,             0.89665,             0.50662,            0.041955,            0.015877,          0.00070441,             0.10963,           0.0097592,           0.0097592,           0.0097592
                 113,            0.053356,            0.016982,           0.0010383,             0.12833,             0.79098,             0.87287,              0.8752,             0.42784,            0.042327,            0.015758,          0.00089391,              0.1081,           0.0097549,           0.0097549,           0.0097549
                 114,            0.055783,            0.018328,           0.0011485,             0.12828,             0.94308,             0.86301,             0.90723,             0.40147,             0.04237,            0.015513,          0.00075677,             0.10995,           0.0097506,           0.0097506,           0.0097506
                 115,            0.054506,            0.019816,          0.00097743,             0.12957,             0.91494,             0.84216,             0.89864,             0.48574,            0.043345,            0.015532,          0.00089609,             0.10857,           0.0097462,           0.0097462,           0.0097462
                 116,            0.056337,            0.019244,           0.0010476,             0.12689,             0.92945,             0.85158,              0.9066,             0.47491,            0.043981,            0.016049,          0.00067126,             0.10901,           0.0097418,           0.0097418,           0.0097418
                 117,            0.053616,            0.019505,          0.00096252,             0.12691,             0.91015,             0.82895,              0.8608,             0.44348,            0.043782,            0.015786,           0.0007195,             0.11882,           0.0097373,           0.0097373,           0.0097373
                 118,            0.054138,            0.018292,          0.00092733,              0.1261,             0.94774,             0.86399,             0.90908,             0.48721,            0.038652,            0.015362,          0.00069246,             0.11262,           0.0097328,           0.0097328,           0.0097328
                 119,            0.056085,            0.018596,          0.00093024,             0.12494,             0.94085,             0.85732,             0.89741,             0.50018,            0.038198,            0.015761,          0.00091623,             0.10789,           0.0097283,           0.0097283,           0.0097283
                 120,            0.053336,            0.018113,          0.00098309,             0.12689,             0.94217,             0.86771,             0.91739,             0.56779,            0.034556,            0.015053,           0.0007075,             0.11073,           0.0097237,           0.0097237,           0.0097237
                 121,            0.052271,            0.017268,          0.00095804,             0.12981,             0.94563,             0.87296,             0.91629,             0.53245,             0.03842,            0.016172,          0.00071719,             0.10639,           0.0097191,           0.0097191,           0.0097191
                 122,            0.055016,            0.018124,          0.00098197,             0.12565,              0.9212,             0.87668,             0.91024,             0.46379,            0.040908,            0.015716,          0.00075466,             0.10901,           0.0097145,           0.0097145,           0.0097145
                 123,             0.05272,            0.017763,          0.00086833,             0.12453,             0.93553,             0.86139,             0.90607,             0.54465,            0.039737,            0.015662,          0.00080104,             0.11026,           0.0097098,           0.0097098,           0.0097098
                 124,            0.054969,            0.018873,           0.0007709,             0.12699,             0.97474,             0.87819,             0.91984,             0.55406,            0.037435,            0.016241,          0.00075519,             0.10368,           0.0097051,           0.0097051,           0.0097051
                 125,            0.053587,            0.017733,          0.00086511,             0.12664,             0.83786,             0.83747,             0.88953,             0.46732,            0.044685,             0.01573,          0.00079913,             0.10772,           0.0097003,           0.0097003,           0.0097003
                 126,            0.055479,            0.018065,          0.00095672,             0.12165,             0.90237,             0.86137,             0.89098,             0.44684,            0.040308,            0.015658,          0.00080938,             0.10876,           0.0096955,           0.0096955,           0.0096955
                 127,            0.053933,             0.01736,          0.00080506,             0.12334,             0.83586,             0.83175,             0.86226,             0.41989,            0.045158,            0.015535,          0.00062531,             0.10565,           0.0096907,           0.0096907,           0.0096907
                 128,            0.054278,            0.017963,          0.00090091,             0.12442,             0.94398,             0.85769,             0.89767,             0.49337,               0.042,            0.016232,          0.00076733,              0.1064,           0.0096858,           0.0096858,           0.0096858
                 129,            0.053556,            0.017562,          0.00096249,             0.12307,             0.94777,             0.87463,             0.91093,             0.53775,            0.037469,            0.015998,          0.00061121,             0.10676,           0.0096809,           0.0096809,           0.0096809
                 130,             0.05318,            0.017578,          0.00098908,             0.12184,              0.9141,             0.85127,             0.89863,             0.49657,            0.043449,            0.015768,          0.00060004,             0.10301,            0.009676,            0.009676,            0.009676
                 131,            0.053071,            0.017854,          0.00077399,             0.12298,             0.93594,             0.88663,             0.90235,             0.53928,            0.038501,            0.015374,          0.00060908,             0.10477,            0.009671,            0.009671,            0.009671
                 132,            0.053259,            0.018875,          0.00099895,             0.12204,             0.88905,             0.86688,             0.91178,             0.48448,            0.040148,            0.015516,          0.00070687,             0.10355,            0.009666,            0.009666,            0.009666
